EstC;Ndep;Renda;TipoR;Vbem;Nparc;Vparc;Nveic;CC;Tel; Idade ;TmpTrab;Entrada;Classe
2;0;689;0;829;11;115;0;0;0;67;48;0;1
1;0;500;0;552;4;119;0;0;0;67;48;119;1
1;0;490;0;529;11;60;0;0;0;67;48;100;1
0;0;786;0;552;4;119;0;0;0;67;48;119;1
1;0;945;0;552;4;119;0;0;0;67;48;119;1
1;0;640;0;301;4;90;0;0;0;67;48;0;1
0;0;1258;0;552;4;119;0;0;0;67;48;119;1
0;0;1500;0;536;6;113;0;0;0;67;48;0;1
0;0;2000;0;649;12;82;0;0;0;67;48;0;1
0;0;1428;0;389;6;82;0;0;0;67;48;0;1
0;0;3266;0;552;4;119;0;0;0;67;48;119;1
2;0;4005;0;518;3;142;0;0;0;67;48;142;1
0;0;5790;0;552;4;119;0;0;0;67;48;119;1
3;0;7260;0;399;3;151;0;0;0;67;48;0;1
0;0;530;0;888;9;98;0;0;0;63;0;285;1
1;0;550;0;549;12;75;0;0;0;63;0;0;1
0;0;1342;0;1084;2;363;0;0;0;63;0;363;1
0;0;617;0;464;3;116;0;0;0;63;0;116;1
0;0;700;0;415;12;57;0;0;0;63;0;0;1
1;0;1201;0;710;2;239;0;0;0;63;0;239;1
0;0;2000;0;1167;2;391;0;0;0;63;0;391;1
1;0;800;0;457;15;57;0;0;1;63;0;0;1
0;0;1000;0;400;2;141;0;0;0;63;0;141;1
1;0;1300;0;420;5;78;0;0;1;63;0;100;1
0;0;1500;0;301;2;102;0;0;0;63;0;102;1
3;0;527;0;341;5;86;0;0;1;68;72;0;1
0;0;310;0;470;4;80;0;0;1;67;60;200;1
1;0;443;0;596;6;100;0;0;0;66;48;0;1
1;0;876;0;1144;6;125;0;0;0;66;48;400;1
1;0;555;0;699;4;145;0;0;0;66;48;200;1
1;0;600;0;698;11;97;0;0;0;66;48;0;1
1;0;500;0;552;4;119;0;0;0;66;48;119;1
1;0;500;0;541;5;99;0;0;0;66;48;99;1
0;0;580;0;552;4;119;0;0;0;66;48;119;1
0;0;900;0;829;5;163;0;0;0;66;48;163;1
1;0;890;0;700;3;260;0;0;0;66;48;0;1
3;0;856;0;649;4;192;0;0;0;66;48;0;1
0;0;920;0;646;6;143;0;0;0;66;48;0;1
2;0;504;0;334;2;113;0;0;0;66;48;113;1
1;0;720;0;366;6;62;0;0;0;66;48;0;1
1;0;1072;0;309;3;118;0;0;0;66;48;0;1
3;0;1800;0;459;12;58;0;0;0;66;48;0;1
3;0;4023;0;552;4;119;0;0;0;66;48;119;1
1;0;350;0;369;9;52;0;0;0;64;24;52;1
0;0;500;0;363;4;107;0;0;1;64;24;0;1
3;0;335;0;396;10;60;0;0;1;62;0;0;1
0;0;573;0;471;6;86;0;0;0;62;0;100;1
0;0;575;0;433;1;146;0;0;0;62;0;290;1
0;0;2251;0;1363;2;456;0;0;0;62;0;456;1
1;0;1200;0;701;2;236;0;0;0;62;0;236;1
0;0;880;0;474;12;65;0;0;0;62;0;0;1
0;0;1500;0;698;4;159;0;0;0;62;0;159;1
0;0;2592;0;1087;2;364;0;0;0;62;0;364;1
0;0;908;0;349;5;59;0;0;0;62;0;59;1
3;0;1092;0;374;12;51;0;0;0;62;0;0;1
0;0;1237;0;374;4;76;0;0;0;62;0;76;1
1;0;600;0;595;12;70;0;0;1;67;72;100;1
1;0;977;0;2299;9;173;0;0;0;65;48;1150;1
1;0;500;0;552;4;119;0;0;0;65;48;119;1
1;0;481;0;366;6;62;0;0;0;65;48;0;1
0;0;2879;0;2151;2;719;0;0;0;65;48;719;1
0;0;1727;0;1199;3;76;0;0;0;65;48;1000;1
3;0;1065;0;722;12;89;0;0;0;65;48;0;1
0;0;1071;0;698;6;120;0;0;0;65;48;120;1
1;0;600;0;333;6;56;0;0;0;65;48;0;1
0;0;1099;0;552;4;119;0;0;0;65;48;119;1
1;0;819;0;384;2;130;0;0;0;65;48;130;1
3;0;1420;0;592;2;211;0;0;1;65;48;211;1
1;0;1700;0;669;6;139;0;0;0;65;48;0;1
0;0;2320;0;804;12;99;0;0;0;65;48;0;1
1;0;300;0;401;10;61;0;0;1;62;12;0;1
0;0;933;0;596;4;137;0;0;1;62;12;137;1
0;0;550;0;338;9;56;0;0;0;62;12;0;1
0;0;586;0;748;10;114;0;0;0;61;0;0;1
0;0;1100;0;899;4;210;0;0;0;61;0;210;1
1;0;1200;0;962;12;131;0;0;0;61;0;0;1
0;0;987;0;638;3;213;0;0;0;61;0;0;1
0;0;2900;0;1821;2;608;0;0;0;61;0;610;1
0;0;810;0;496;2;167;0;0;0;61;0;167;1
0;0;600;0;363;2;123;0;0;0;61;0;123;1
0;0;820;0;410;4;125;0;0;1;61;0;0;1
0;0;1500;0;698;7;136;0;0;0;61;0;0;1
0;0;710;0;308;2;105;0;0;0;61;0;105;1
0;0;2400;0;599;7;98;0;0;0;61;0;98;1
0;0;2000;0;475;2;160;0;0;0;61;0;160;1
0;0;600;0;468;5;114;0;0;0;66;72;0;1
1;0;1300;0;395;10;60;0;0;0;66;72;0;1
0;0;1632;0;2499;18;230;0;0;0;64;48;350;1
0;0;458;0;668;12;82;0;0;0;64;48;0;1
1;0;500;0;552;4;119;0;0;0;64;48;119;1
1;0;606;0;596;6;125;0;0;0;64;48;0;1
0;0;419;0;399;6;83;0;0;0;64;48;0;1
0;0;938;0;552;4;119;0;0;0;64;48;119;1
0;0;965;0;499;6;102;0;0;0;64;48;0;1
1;0;700;0;348;3;129;0;0;0;64;48;0;1
1;0;1241;0;549;3;204;0;0;0;64;48;0;1
0;0;1417;0;552;4;119;0;0;0;64;48;119;1
1;0;2313;0;699;9;105;0;0;0;64;48;0;1
2;0;1200;0;343;3;128;0;0;0;64;48;0;1
0;0;2759;0;698;12;86;0;0;0;64;48;0;1
0;0;2500;0;516;5;99;0;0;0;64;48;99;1
0;0;2615;0;459;2;162;0;0;0;64;48;162;1
1;0;3442;0;552;4;119;0;0;0;64;48;119;1
2;0;6158;0;552;4;119;0;0;0;64;48;119;1
1;0;8000;0;552;4;119;0;0;0;64;48;119;1
0;0;415;0;388;8;60;0;0;0;60;0;38;1
1;0;600;0;370;10;56;0;0;1;60;0;0;1
1;0;1028;0;577;15;75;0;0;0;60;0;0;1
0;0;676;0;366;6;62;0;0;0;60;0;0;1
0;0;2400;0;1233;4;247;0;0;0;60;0;250;1
0;0;1004;0;1839;12;226;0;0;0;63;48;0;1
1;0;350;0;417;6;70;0;0;0;63;48;0;1
1;0;907;0;989;6;132;0;0;0;63;48;350;1
1;0;600;0;583;12;80;0;0;0;63;48;0;1
1;0;920;0;847;12;71;0;0;0;63;48;0;1
1;0;773;0;699;6;131;0;0;0;63;48;0;1
1;0;500;0;451;7;85;0;0;0;63;48;0;1
0;0;1200;0;899;12;89;0;0;0;63;48;200;1
1;0;500;0;350;3;128;0;0;0;63;48;0;1
0;0;659;0;449;4;133;0;0;0;63;48;0;1
2;0;524;0;335;6;70;0;0;0;63;48;0;1
0;0;614;0;389;9;51;0;0;0;63;48;51;1
0;0;1604;0;887;4;179;0;0;0;63;48;179;1
0;0;999;0;548;3;149;0;0;0;63;48;149;1
0;0;644;0;335;6;74;0;0;0;63;48;0;1
0;0;1623;0;792;2;266;0;0;0;63;48;266;1
0;0;1526;0;718;6;123;0;0;0;63;48;123;1
1;0;1650;0;756;9;103;0;0;0;63;48;72;1
