"atividadeescolar";"atividadelazer";"atividadeoutra";"atividadegrupo";"atividadesconcluidas";"dificuldadeutilizacao";"tiposoftware";"localutilizacao";"tipoatividade";"disciplina"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Dinâmica";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Dinâmica";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Dinâmica";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Entrevista";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Entrevista";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Entrevista";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Entrevista";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Entrevista";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Entrevista";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Entrevista";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Entrevista";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Entrevista";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Entrevista";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Entrevista";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Entrevista";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Entrevista";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Entrevista";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Entrevista";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Entrevista";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Entrevista";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Entrevista";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Entrevista";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Entrevista";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Entrevista";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Excursão Cultural";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Excursão Cultural";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Excursão Cultural";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Excursão Cultural";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Excursão Cultural";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Excursão Cultural";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Excursão Cultural";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Excursão Cultural";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Excursão Cultural";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Excursão Cultural";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Excursão Cultural";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Excursão Cultural";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Excursão Cultural";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Excursão Cultural";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Excursão Cultural";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Excursão Cultural";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Excursão Cultural";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Excursão Cultural";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Excursão Cultural";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Excursão Cultural";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Excursão Cultural";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Exercício";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Exercício";"Educação Física"
