"atividadeescolar";"atividadelazer";"atividadeoutra";"atividadegrupo";"atividadesconcluidas";"dificuldadeutilizacao";"tiposoftware";"localutilizacao";"tipoatividade";"disciplina"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Dinâmica";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Dinâmica";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Dinâmica";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Dinâmica";"História"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Jogos";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Jogos";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Jogos";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Jogos";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Jogos";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Jogos";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Jogos";"História"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Jogos";"História"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Jogos";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Jogos";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Jogos";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Jogos";"História"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Outros";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Outros";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Outros";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Outros";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Outros";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Outros";"Outras"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Outros";"História"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Outros";"História"
f;f;t;t;"T";"P";"Navegador Web";"Pátio da escola";"Outros";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Outros";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Outros";"História"
f;f;t;t;"T";"P";"Navegador Web";"Laboratório";"Outros";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Pátio da escola";"Dinâmica";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Pátio da escola";"Dinâmica";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Laboratório";"Dinâmica";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Laboratório";"Dinâmica";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Pátio da escola";"Leitura";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Pátio da escola";"Leitura";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Laboratório";"Leitura";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Laboratório";"Leitura";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Pátio da escola";"Outros";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Pátio da escola";"Outros";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Laboratório";"Outros";"História"
f;f;t;t;"A";"P";"Software Multiatividades";"Laboratório";"Outros";"História"
f;f;t;f;"N";"N";"Software de Desenho";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Outras"
f;f;t;f;"N";"N";"Navegador Web";"Pátio da escola";"Outros";"Outras"
f;f;t;f;"N";"N";"Software de Desenho";"Pátio da escola";"Outros";"Outras"
f;f;t;f;"N";"N";"Navegador Web";"Pátio da escola";"Outros";"Outras"
f;f;t;f;"T";"N";"Software Multiatividades";"Sala de Aula";"Outros";"Outras"
t;f;f;f;"T";"N";"Navegador Web";"Biblioteca";"Pesquisa";"Geografia"
t;f;f;f;"T";"N";"Navegador Web";"Biblioteca";"Pesquisa";"Geografia"
t;f;f;f;"T";"N";"Navegador Web";"Biblioteca";"Pesquisa";"Geografia"
t;f;f;f;"T";"N";"Navegador Web";"Biblioteca";"Pesquisa";"Geografia"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Língua Portuguesa"
t;f;f;t;"A";"N";"Navegador Web";"Sala de Aula";"Palestra";"Matemática"
t;f;f;t;"A";"N";"Navegador Web";"Sala de Aula";"Pesquisa";"Matemática"
f;t;f;f;"T";"N";"Navegador Web";"Sala de Aula";"Jogos";"Educação Física"
f;t;f;f;"T";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Jogos";"Educação Física"
f;t;f;f;"T";"M";"Editor de Texto";"Biblioteca";"Jogos";"Ciências"
f;t;f;f;"T";"M";"Navegador Web";"Biblioteca";"Jogos";"Ciências"
f;t;f;f;"T";"M";"Navegador Web";"Pátio da escola";"Exercício";"História"
f;t;f;f;"T";"M";"Ferramenta para aprendizado de lógica";"Pátio da escola";"Exercício";"História"
f;t;f;f;"T";"M";"Navegador Web";"Biblioteca";"Aula Passeio";"Matemática"
f;t;f;t;"T";"M";"Navegador Web";"Biblioteca";"Exercício";"Matemática"
f;t;f;t;"T";"M";"Navegador Web";"Biblioteca";"Exercício";"Matemática"
f;t;f;t;"T";"M";"Navegador Web";"Biblioteca";"Exercício";"Matemática"
f;t;f;t;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"Língua Portuguesa"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Aula Passeio";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Entrevista";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Jogos";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Leitura";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Outras"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Inglês"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Geografia"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"História"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Matemática"
t;t;f;f;"N";"N";"Navegador Web";"Biblioteca";"Palestra";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Aula Passeio";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Aula Passeio";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Aula Passeio";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Excursão Cultural";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Excursão Cultural";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Excursão Cultural";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Exercício";"Educação Física"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Exercício";"Inglês"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Pátio da escola";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Pátio da escola";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Pátio da escola";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Suíte de aplicativos para escritório";"Passeio particular";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Editor de Texto";"Passeio particular";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Exercício";"Matemática"
f;t;f;t;"T";"N";"Webcam";"Passeio particular";"Exercício";"Matemática"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Educação Física"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Artes"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Inglês"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Geografia"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"História"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Ciências"
t;f;f;f;"T";"P";"Navegador Web";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Língua Portuguesa"
t;f;f;t;"A";"N";"Navegador Web";"Casa";"Exercício";"Matemática"
f;f;t;f;"A";"N";"Comunicador Instantâneo";"Sala de Aula";"Outros";"Língua Portuguesa"
f;f;t;f;"A";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Outros";"Língua Portuguesa"
f;f;t;f;"A";"N";"Webcam";"Sala de Aula";"Outros";"Língua Portuguesa"
f;f;t;f;"A";"N";"Webcam";"Sala de Aula";"Outros";"Língua Portuguesa"
f;f;t;f;"A";"N";"Suíte de aplicativos para escritório";"Sala de Aula";"Outros";"Língua Portuguesa"
t;f;f;f;"T";"M";"Suíte de aplicativos para escritório";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Inglês"
t;f;f;f;"T";"M";"Editor de Texto";"Sala de Aula";"Apresentação Cultural (Teatro, Dança, etc)";"Inglês"
f;f;t;t;"T";"M";"Editor de Texto";"Pátio da escola";"Jogos";"Outras"
